order_id,customer_id,product_id,seller_id,order_date,quantity,unit_price,total_price,payment_method,order_status,country
7795c3bf-e8dc-4fab-b876-510e2db2b644,9e21bf9c-caa3-48ef-a3e8-647a84c82d30,P0023,c7c50a9c-111f-43b7-b76d-edaae69e756e,2024-07-15,2,104.67,209.34,Bonifico,Annullato,Malta
9c0c7867-095e-4d40-8b6c-2e8e9fca1519,c16f5911-955d-4361-8cf8-136f31672323,P0187,04204cbb-b213-4ecd-b9c1-8f900f8d0860,2024-10-19,1,28.8,28.8,Contrassegno,Reso,Chad
2e564359-eafb-4586-a20f-f6063d10f38c,abcd30db-041b-4917-a6c3-24d53c54884e,P0089,22014c5e-10c4-4266-9786-82a17d2ee458,2024-07-07,1,46.23,46.23,Carta di Credito,Reso,Faroe Islands
3b0e6450-4453-4b53-b209-802bebbdc60d,209d1bd8-2fbf-4889-9d88-302d180aef56,P0017,a71aeb47-ee6f-40c5-9e77-25a83ca3966f,2025-03-23,5,136.97,684.85,Contrassegno,Completato,Western Sahara
6f47ad29-00d4-4c3a-915a-61778ee8f05e,63633e50-bdb7-4c36-a592-d91409840a4d,P0187,f93af035-6ba9-4cf2-b6cc-f18a731c3a7c,2025-04-07,3,28.8,86.4,Contrassegno,Completato,Panama
81f74b52-4e20-4af4-8503-83383a3dc1e8,dcd84c60-14af-4176-8d7d-8cd824ab8034,P0117,acc2479c-1d7f-42ea-bee9-207653c075b3,2024-12-05,3,36.5,109.5,Carta di Credito,Completato,Korea
c2bda697-cf88-49c1-87b4-39bdfb4fa62c,17db3c7b-f673-442b-af00-355fc0cb6737,P0071,04204cbb-b213-4ecd-b9c1-8f900f8d0860,2025-02-11,3,177.75,533.25,Bonifico,Annullato,Mayotte
30b914da-79cf-4095-a551-ae3a667a85cc,382faa9e-1caa-458e-bf2e-e32b1fc8b9d8,P0160,a180362b-b87d-4bdd-912a-60e3d1978a87,2024-09-24,2,187.04,374.08,PayPal,Annullato,Cote d'Ivoire
9d30c741-9171-4942-b40f-ecbd1955927c,3e79e1b2-c115-48a5-ba95-7bbd86395f55,P0119,c47a0bb4-e3ef-4f2e-851b-d8adc26d08ec,2024-11-29,4,102.32,409.28,Contrassegno,Annullato,Cameroon
2c40f5fb-865e-48a7-90de-34628d13840e,a4bc24a1-ad5e-4528-b1b4-5fb86903a456,P0109,22014c5e-10c4-4266-9786-82a17d2ee458,2025-02-13,1,133.53,133.53,PayPal,Completato,Indonesia
7cfe6cbe-6618-40a8-b809-15203eed773c,c16f5911-955d-4361-8cf8-136f31672323,P0180,21ba0f55-ed50-4dfc-b223-a0401e9fccc0,2024-08-03,3,59.61,178.82999999999998,Contrassegno,Completato,Paraguay
686e97d0-dd88-46b9-ae9b-975b22fdad60,f6ce79cc-d3d9-429f-8e2a-840d26903c2e,P0103,936e7e0b-055c-44fb-a868-8b5a7472c1a7,2024-08-23,2,192.79,385.58,Bonifico,Completato,Palestinian Territory
